Tunisia|Tunisia|1|Tunisia
Turkey|Turkey|1|Turkey
Turkmenistan|Turkmenistan|1|Turkmenistan
Tuvalu|Tuvalu|1|Tuvalu
Uganda|Uganda|1|Uganda
Ukraine|Ukraine|1|Ukraine
United Arab Emirates|United Arab Emirates|1|United Arab Emirates
United Kingdom|United Kingdom|1|United Kingdom
United States|United States|1|United States
Uruguay|Uruguay|1|Uruguay
Uzbekistan|Uzbekistan|1|Uzbekistan
Vanuatu|Vanuatu|1|Vanuatu
Vatican City|Vatican City|1|Vatican City
Venezuela|Venezuela|1|Venezuela
Vietnam|Vietnam|1|Vietnam
Western Sahara|Western Sahara|1|Western Sahara
Yemen|Yemen|1|Yemen
Yugoslavia|Yugoslavia|1|Yugoslavia
Zambia|Zambia|1|Zambia
Zimbabwe|Zimbabwe|1|Zimbabwe
